PA0030 	pp6382 		pp6382		ABC 	binding 	654 	choline 		3.A.1 		X
PA0777 	pp6382 		pp6382		ABC 	binding protein 	706 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA0860 	pp6382 		pp6382		ABC 	binding 	707 	lipid A 		3.A.1 		X
PA0888 	pp6382 		pp6382		ABC 	binding protein 	708 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA0889 	pp6382 		pp6382		ABC 	membrane 	709 	amino acid (lysine/arginine/ornithine/histidine/octopine) 		3.A.1 		X
PA0890 	pp6382 		pp6382		ABC 	membrane 	710 	amino acid (lysine/arginine/ornithine/histidine/octopine) 		3.A.1 		X
PA0892 	pp6382 		pp6382		ABC 	binding 	711 	phosphate 		3.A.1 		X
PA1070 	pp6382 		pp6382		ABC 	binding 	713 	daunorubicin 		3.A.1 		X
PA1071 	pp6382 		pp6382		ABC 	binding 	714 	daunorubicin 		3.A.1 		X
PA1072 	pp6382 		pp6382		ABC 	membrane 	715 	branched-chain amino acid 		3.A.1 		X
PA1073 	pp6382 		pp6382		ABC 	membrane 	716 	branched-chain amino acid 		3.A.1 		X
PA1074 	pp6382 		pp6382		ABC 	binding 	717 	leucine/valine 		3.A.1 		X
PA1113 	pp6382 		pp6382		ABC 	membrane 	718 	multidrug 	* 	3.A.1 		X
PA1246 	pp6382 		pp6382		ABC 	membrane 	720 	protease secretion 	* 	3.A.1 		X
PA1256 	pp6382 		pp6382		ABC 	binding 	723 	phosphate 		3.A.1 		X
PA1257 	pp6382 		pp6382		ABC 	membrane 	724 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA1258 	pp6382 		pp6382		ABC 	membrane 	725 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA1260 	pp6382 		pp6382		ABC 	binding protein 	726 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA1339 	pp6382 		pp6382		ABC 	binding 	728 	phosphate 		3.A.1 		X
PA1340 	pp6382 		pp6382		ABC 	membrane 	729 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA1341 	pp6382 		pp6382		ABC 	membrane 	730 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA1342 	pp6382 		pp6382		ABC 	binding protein 	731 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA1386 	pp6382 		pp6382		ABC 	binding 	732 	daunorubicin 		3.A.1 		X
PA1410 	pp6382 		pp6382		ABC 	binding protein 	733 	spermidine/putrescine 		3.A.1 		X
PA1425 	pp6382 		pp6382		ABC 	binding 	734 	cobalt 		3.A.1 		X
PA1475 	pp6382 		pp6382		ABC 	binding 	735 	heme 		3.A.1 		X
PA1476 	pp6382 		pp6382		ABC 	membrane 	736 	heme export 		3.A.1 		X
PA1477 	pp6382 		pp6382		ABC 	membrane 	1591 	heme export 		3.A.1 		X
PA1493 	pp6382 		pp6382		ABC 	binding 	738 	sulfate/thiosulfate 		3.A.1 		X
PA1531 	pp6382 		pp6382		ABC 	binding protein 	740 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA1807 	pp6382 		pp6382		ABC 	binding 	745 	D-methionine 		3.A.1 		X
PA1808 	pp6382 		pp6382		ABC 	membrane 	746 	dipeptide/oligopeptide 		3.A.1 		X
PA1809 	pp6382 		pp6382		ABC 	membrane 	747 	dipeptide/oligopeptide 		3.A.1 		X
PA1810 	pp6382 		pp6382		ABC 	binding protein 	748 	oligopeptide 		3.A.1 		X
PA1811 	pp6382 		pp6382		ABC 	binding protein 	749 	oligopeptide 		3.A.1 		X
PA1854 	pp6382 		pp6382		ABC 	binding 	1533 	glycine betaine 		3.A.1 		X
PA1861 	pp6382 		pp6382		ABC 	binding 	751 	molybdate 		3.A.1 		X
PA1862 	pp6382 		pp6382		ABC 	membrane 	752 	molybdate 		3.A.1 		X
PA1863 	pp6382 		pp6382		ABC 	binding 	753 	mobybdenate 		3.A.1 		X
PA1876 	pp6382 		pp6382		ABC 	membrane 	755 	toxin secretion 	* 	3.A.1 		X
PA1946 	pp6382 		pp6382		ABC 	binding 	757 	rhamnose 		3.A.1 		X
PA1947 	pp6382 		pp6382		ABC 	ABC 	758 	sugar (ribose) 		3.A.1 		X
PA1948 	pp6382 		pp6382		ABC 	membrane 	759 	sugar (ribose) 		3.A.1 		X
PA1964 	pp6382 		pp6382		ABC 	binding 	762 	heme 		3.A.1 		X
PA2058 	pp6382 		pp6382		ABC 	binding protein 	764 	oligopeptide 		3.A.1 		X
PA2059 	pp6382 		pp6382		ABC 	membrane 	765 	dipeptide/oligopeptide 		3.A.1 		X
PA2060 	pp6382 		pp6382		ABC 	membrane 	766 	dipeptide/oligopeptide 		3.A.1 		X
PA2061 	pp6382 		pp6382		ABC 	binding 	767 	glycine betaine 		3.A.1 		X
PA2202 	pp6382 		pp6382		ABC 	membrane 	769 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA2203 	pp6382 		pp6382		ABC 	membrane 	770 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA2204 	pp6382 		pp6382		ABC 	binding protein 	771 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA2294 	pp6382 		pp6382		ABC 	binding 	773 	nitrate 		3.A.1 		X
PA2295 	pp6382 		pp6382		ABC 	membrane 	774 	nitrate/sulfonate/taurine 		3.A.1 		X
PA2307 	pp6382 		pp6382		ABC 	membrane 	776 	nitrate/sulfonate/taurine 		3.A.1 		X
PA2308 	pp6382 		pp6382		ABC 	binding 	777 	nitrate 		3.A.1 		X
PA2309 	pp6382 		pp6382		ABC 	binding 	778 	methionine 		3.A.1 		X
PA2327 	pp6382 		pp6382		ABC 	membrane 	780 	nitrate/sulfonate/taurine 		3.A.1 		X
PA2329 	pp6382 		pp6382		ABC 	binding 	782 	nitrate 		3.A.1 		X
PA2338 	pp6382 		pp6382		ABC 	binding protein 	783 	sugar 		3.A.1 		X
PA2339 	pp6382 		pp6382		ABC 	membrane 	784 	sugar 		3.A.1 		X
PA2340 	pp6382 		pp6382		ABC 	membrane 	785 	sugar 		3.A.1 		X
PA2341 	pp6382 		pp6382		ABC 	binding 	786 	polyamine 		3.A.1 		X
PA2349 	pp6382 		pp6382		ABC 	binding 	787 	methionine 		3.A.1 		X
PA2350 	pp6382 		pp6382		ABC 	binding 	788 	D-methionine 		3.A.1 		X
PA2351 	pp6382 		pp6382		ABC 	membrane 	789 	D-methionine 		3.A.1 		X
PA2377 	pp6382 		pp6382		ABC 	binding protein 	790 	iron(III) 		3.A.1 		X
PA2390 	pp6382 		pp6382		ABC 	binding 	792 	lipoprotein 		3.A.1 		X
PA2397 	pp6382 		pp6382		ABC 	membrane 	794 	pyoverdin (siderophore) exporter PvdE 	* 	3.A.1 		X
PA2407 	pp6382 		pp6382		ABC 	binding 	795 	zinc 		3.A.1 		X
PA2408 	pp6382 		pp6382		ABC 	binding 	796 	daunorubicin 		3.A.1 		X
PA2409 	pp6382 		pp6382		ABC 	membrane 	797 	manganese/zinc ion 		3.A.1 		X
PA2410 	pp6382 		pp6382		ABC 	binding 	798 	zinc 		3.A.1 		X
PA2592 	pp6382 		pp6382		ABC 	binding protein 	805 	spermidine/putrescine 		3.A.1 		X
PA2594 	pp6382 		pp6382		ABC 	binding protein 	806 	nitrate/sulfonate/taurine 		3.A.1 		X
PA2595 	pp6382 		pp6382		ABC 	binding protein 	807 	nitrate/sulfonate/taurine 		3.A.1 		X
PA2596 	pp6382 		pp6382		ABC 	binding protein 	808 	nitrate/sulfonate/taurine 		3.A.1 		X
PA2599 	pp6382 		pp6382		ABC 	binding 	809 	glycine betaine 		3.A.1 		X
PA2678 	pp6382 		pp6382		ABC 	membrane 	810 	polysaccharide export 		3.A.1 		X
PA2711 	pp6382 		pp6382		ABC 	binding protein 	811 	spermidine/putrescine 		3.A.1 		X
PA2811 	pp6382 		pp6382		ABC 	membrane 	814 	polysaccharide export 		3.A.1 		X
PA2812 	pp6382 		pp6382		ABC 	binding 	815 	daunorubicin 		3.A.1 		X
PA2857 	pp6382 		pp6382		ABC 	binding 	818 	lipoprotein 		3.A.1 		X
PA2858 	pp6382 		pp6382		ABC 	membrane 	819 	unknown substrate 		3.A.1 		X
PA2865 	pp6382 		pp6382		ABC 	binding protein 	820 	amino acid 		3.A.1 		X
PA2902 	pp6382 		pp6382		ABC 	binding protein 	821 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA2912 	pp6382 		pp6382		ABC 	binding 	822 	phosphonate 		3.A.1 		X
PA2913 	pp6382 		pp6382		ABC 	binding 	823 	cobalamin 		3.A.1 		X
PA2914 	pp6382 		pp6382		ABC 	membrane 	824 	cobalamin/Fe3+-siderophores 		3.A.1 		X
PA2923 	pp6382 		pp6382		ABC 	binding protein 	825 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA2924 	pp6382 		pp6382		ABC 	membrane 	826 	amino acid (lysine/arginine/ornithine/histidine/octopine) 		3.A.1 		X
PA2925 	pp6382 		pp6382		ABC 	membrane 	827 	amino acid (lysine/arginine/ornithine/histidine/octopine) 		3.A.1 		X
PA2926 	pp6382 		pp6382		ABC 	binding 	828 	phosphate 		3.A.1 		X
PA2986 	pp6382 		pp6382		ABC 	membrane 	829 	lipoprotein releasing 		3.A.1 		X
PA2987 	pp6382 		pp6382		ABC 	binding 	830 	lipoprotein 		3.A.1 		X
PA2988 	pp6382 		pp6382		ABC 	membrane 	831 	lipoprotein releasing 		3.A.1 		X
PA3019 	pp6382 		pp6382		ABC 	binding 	832 	heme 		3.A.1 		X
PA3187 	pp6382 		pp6382		ABC 	binding 	834 	polyamine 		3.A.1 		X
PA3188 	pp6382 		pp6382		ABC 	membrane 	835 	sugar 		3.A.1 		X
PA3189 	pp6382 		pp6382		ABC 	membrane 	836 	sugar 		3.A.1 		X
PA3190 	pp6382 		pp6382		ABC 	binding protein 	837 	sugar 		3.A.1 		X
PA3211 	pp6382 		pp6382		ABC 	membrane 	838 	toluene tolerance 		3.A.1 		X
PA3212 	pp6382 		pp6382		ABC 	binding 	839 	D-methionine 		3.A.1 		X
PA3213 	pp6382 		pp6382		ABC 	binding protein 	840 	toluene tolerance 		3.A.1 		X
PA3228 	pp6382 		pp6382		ABC 	membrane 	842 	multidrug 	* 	3.A.1 		X
PA3236 	pp6382 		pp6382		ABC 	binding 	843 	glycine betaine 		3.A.1 		X
PA3252 	pp6382 		pp6382		ABC 	membrane 	846 	unknown substrate 		3.A.1 		X
PA3253 	pp6382 		pp6382		ABC 	membrane 	847 	spermidine/putrescine 		3.A.1 		X
PA3254 	pp6382 		pp6382		ABC 	binding 	848 	polyamine 		3.A.1 		X
PA3261 	pp6382 		pp6382		ABC 	binding protein 	849 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA3313 	pp6382 		pp6382		ABC 	binding 	851 	phosphonates 		3.A.1 		X
PA3314 	pp6382 		pp6382		ABC 	binding 	852 	phosphonate 		3.A.1 		X
PA3315 	pp6382 		pp6382		ABC 	membrane 	853 	phosphonate 		3.A.1 		X
PA3316 	pp6382 		pp6382		ABC 	membrane 	854 	phosphonate 		3.A.1 		X
PA3364 	pp6382 		pp6382		ABC 	binding 	855 	urea 		3.A.1 		X
PA3375 	pp6382 		pp6382		ABC 	ABC 	856 	phosphonate 		3.A.1 		X
PA3376 	pp6382 		pp6382		ABC 	ABC 	857 	phosphonate 		3.A.1 		X
PA3382 	pp6382 		pp6382		ABC 	membrane 	858 	phosphonate 		3.A.1 		X
PA3383 	pp6382 		pp6382		ABC 	binding 	859 	phosphonate 		3.A.1 		X
PA3384 	pp6382 		pp6382		ABC 	binding 	860 	phosphonate 		3.A.1 		X
PA3394 	pp6382 		pp6382		ABC 	binding 	862 	daunorubicin 		3.A.1 		X
PA3395 	pp6382 		pp6382		ABC 	membrane 	863 	multidrug 		3.A.1 		X
PA3400 	pp6382 		pp6382		ABC 	membrane 	1664 	multidrug 		3.A.1 		X
PA3401 	pp6382 		pp6382		ABC 	membrane 	865 	multidrug 		3.A.1 		X
PA3406 	pp6382 		pp6382		ABC 	membrane 	867 	protease secretion 	* 	3.A.1 		X
PA3442 	pp6382 		pp6382		ABC 	binding 	869 	nitrate 		3.A.1 		X
PA3443 	pp6382 		pp6382		ABC 	membrane 	870 	nitrate/sulfonate/taurine 		3.A.1 		X
PA3445 	pp6382 		pp6382		ABC 	binding 	871 	glycine betaine 		3.A.1 		X
PA3447 	pp6382 		pp6382		ABC 	binding 	872 	nitrate 		3.A.1 		X
PA3448 	pp6382 		pp6382		ABC 	membrane 	873 	nitrate/sulfonate/taurine 		3.A.1 		X
PA3449 	pp6382 		pp6382		ABC 	binding 	874 	phosphonates 		3.A.1 		X
PA3475 	pp6382 		pp6382		ABC 	binding protein 	875 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA3512 	pp6382 		pp6382		ABC 	membrane 	877 	nitrate/sulfonate/taurine 		3.A.1 		X
PA3514 	pp6382 		pp6382		ABC 	binding 	879 	nitrate 		3.A.1 		X
PA3538 	pp6382 		pp6382		ABC 	binding 	881 	polyamine 		3.A.1 		X
PA3607 	pp6382 		pp6382		ABC 	binding 	883 	polyamine 		3.A.1 		X
PA3608 	pp6382 		pp6382		ABC 	membrane 	884 	spermidine/putrescine 		3.A.1 		X
PA3609 	pp6382 		pp6382		ABC 	membrane 	885 	spermidine/putrescine 		3.A.1 		X
PA3610 	pp6382 		pp6382		ABC 	binding protein 	886 	spermidine/putrescine 		3.A.1 		X
PA3670 	pp6382 		pp6382		ABC 	binding protein 	887 	unknown substrate 		3.A.1 		X
PA3671 	pp6382 		pp6382		ABC 	membrane 	888 	multidrug 		3.A.1 		X
PA3672 	pp6382 		pp6382		ABC 	binding 	889 	daunorubicin 		3.A.1 		X
PA3764 	pp6382 		pp6382		ABC 	binding protein 	891 	amino acid 		3.A.1 		X
PA3770 	pp6382 		pp6382		ABC 	binding 	412 	glycine betaine 		3.A.1 		X
PA3837 	pp6382 		pp6382		ABC 	membrane 	894 	unknown substrate 		3.A.1 		X
PA3838 	pp6382 		pp6382		ABC 	binding 	895 	phosphonate 		3.A.1 		X
PA3858 	pp6382 		pp6382		ABC 	binding protein 	896 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA3865 	pp6382 		pp6382		ABC 	binding protein 	897 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA3888 	pp6382 		pp6382		ABC 	membrane 	898 	glycine betaine/L-proline/carnitine/choline 		3.A.1 		X
PA3889 	pp6382 		pp6382		ABC 	binding 	899 	glycine betaine 		3.A.1 		X
PA3890 	pp6382 		pp6382		ABC 	membrane 	900 	glycine betaine/L-proline/carnitine/choline 		3.A.1 		X
PA3891 	pp6382 		pp6382		ABC 	binding 	901 	glycine betaine 		3.A.1 		X
PA3931 	pp6382 		pp6382		ABC 	binding 	903 	methionine 		3.A.1 		X
PA3936 	pp6382 		pp6382		ABC 	membrane 	904 	nitrate/sulfonate/taurine 		3.A.1 		X
PA3937 	pp6382 		pp6382		ABC 	binding 	905 	nitrate 		3.A.1 		X
PA3938 	pp6382 		pp6382		ABC 	binding 	906 	glycine betaine 		3.A.1 		X
PA4027 	pp6382 		pp6382		ABC 	binding protein 	909 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA4037 	pp6382 		pp6382		ABC 	binding 	910 	daunorubicin 		3.A.1 		X
PA4038 	pp6382 		pp6382		ABC 	membrane 	911 	multidrug 		3.A.1 		X
PA4039 	pp6382 		pp6382		ABC 	binding protein 	912 	unknown substrate 		3.A.1 		X
PA4045 	pp6382 		pp6382		ABC 	binding 	913 	iron-hydroxamate 		3.A.1 		X
PA4049 	pp6382 		pp6382		ABC 	binding protein 	914 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA4064 	pp6382 		pp6382		ABC 	binding 	915 	lipoprotein 		3.A.1 		X
PA4065 	pp6382 		pp6382		ABC 	membrane 	916 	efflux (antimicrobial peptide) 		3.A.1 		X
PA4143 	pp6382 		pp6382		ABC 	membrane 	918 	toxin secretion 	* 	3.A.1 		X
PA4158 	pp6382 		pp6382		ABC 	binding 	919 	phosphonate 		3.A.1 		X
PA4159 	pp6382 		pp6382		ABC 	binding 	920 	iron-hydroxamate 		3.A.1 		X
PA4160 	pp6382 		pp6382		ABC 	membrane 	921 	cobalamin/Fe3+-siderophores 		3.A.1 		X
PA4161 	pp6382 		pp6382		ABC 	membrane 	922 	ferric enterobactin 		3.A.1 		X
PA4192 	pp6382 		pp6382		ABC 	binding 	923 	phosphate 		3.A.1 		X
PA4193 	pp6382 		pp6382		ABC 	membrane 	924 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA4194 	pp6382 		pp6382		ABC 	membrane 	925 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA4195 	pp6382 		pp6382		ABC 	binding protein 	926 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA4222 	pp6382 		pp6382		ABC 	binding 	929 	lipid A 		3.A.1 		X
PA4223 	pp6382 		pp6382		ABC 	binding 	930 	lipid A 		3.A.1 		X
PA4302 	pp6382 		pp6382		ABC 	binding 	1201 	thiamine 		3.A.1 		X
PA4454 	pp6382 		pp6382		ABC 	binding protein 	936 	toluene tolerance 		3.A.1 		X
PA4455 	pp6382 		pp6382		ABC 	membrane 	937 	toluene tolerance 		3.A.1 		X
PA4456 	pp6382 		pp6382		ABC 	binding 	938 	sulfate 		3.A.1 		X
PA4461 	pp6382 		pp6382		ABC 	binding 	941 	daunorubicin 		3.A.1 		X
PA4496 	pp6382 		pp6382		ABC 	binding protein 	942 	dipeptide/oligopeptide 		3.A.1 		X
PA4497 	pp6382 		pp6382		ABC 	binding protein 	943 	dipeptide/oligopeptide 		3.A.1 		X
PA4500 	pp6382 		pp6382		ABC 	binding protein 	944 	dipeptide/oligopeptide 		3.A.1 		X
PA4502 	pp6382 		pp6382		ABC 	binding protein 	945 	dipeptide/oligopeptide 		3.A.1 		X
PA4503 	pp6382 		pp6382		ABC 	membrane 	946 	dipeptide/oligopeptide 		3.A.1 		X
PA4504 	pp6382 		pp6382		ABC 	membrane 	947 	dipeptide/oligopeptide 		3.A.1 		X
PA4505 	pp6382 		pp6382		ABC 	binding 	948 	glycine betaine 		3.A.1 		X
PA4506 	pp6382 		pp6382		ABC 	binding 	949 	glycine betaine 		3.A.1 		X
PA4593 	pp6382 		pp6382		ABC 	membrane 	951 	efflux (antimicrobial peptide) 		3.A.1 		X
PA4594 	pp6382 		pp6382		ABC 	binding 	952 	lipoprotein 		3.A.1 		X
PA4595 	pp6382 		pp6382		ABC 	binding 	953 	phosphonate 		3.A.1 		X
PA4687 	pp6382 		pp6382		ABC 	binding protein 	955 	iron(III) 		3.A.1 		X
PA4688 	pp6382 		pp6382		ABC 	membrane 	956 	iron(III) 		3.A.1 		X
PA4706 	pp6382 		pp6382		ABC 	binding 	957 	cobalt 		3.A.1 		X
PA4707 	pp6382 		pp6382		ABC 	membrane 	958 	cobalamin/Fe3+-siderophores 		3.A.1 		X
PA4708 	pp6382 		pp6382		ABC 	binding 	959 	iron-hydroxamate 		3.A.1 		X
PA4858 	pp6382 		pp6382		ABC 	binding 	961 	urea 		3.A.1 		X
PA4859 	pp6382 		pp6382		ABC 	membrane 	962 	branched-chain amino acid 		3.A.1 		X
PA4860 	pp6382 		pp6382		ABC 	membrane 	963 	branched-chain amino acid 		3.A.1 		X
PA4861 	pp6382 		pp6382		ABC 	binding 	964 	daunorubicin 		3.A.1 		X
PA4862 	pp6382 		pp6382		ABC 	binding 	965 	molybdate 		3.A.1 		X
PA4909 	pp6382 		pp6382		ABC 	binding 	966 	daunorubicin 		3.A.1 		X
PA4910 	pp6382 		pp6382		ABC 	binding 	967 	daunorubicin 		3.A.1 		X
PA4911 	pp6382 		pp6382		ABC 	membrane 	968 	branched-chain amino acid 		3.A.1 		X
PA4912 	pp6382 		pp6382		ABC 	membrane 	969 	branched-chain amino acid 		3.A.1 		X
PA4913 	pp6382 		pp6382		ABC 	binding 	970 	leucine/valine 		3.A.1 		X
PA4985 	pp6382 		pp6382		ABC 	binding protein 	971 	spermidine/putrescine 		3.A.1 		X
PA4997 	pp6382 		pp6382		ABC 	binding 	972 	lipid A 		3.A.1 		X
PA5074 	pp6382 		pp6382		ABC 	binding 	973 	phosphate 		3.A.1 		X
PA5075 	pp6382 		pp6382		ABC 	membrane 	974 	amino aicd (glutamine/glutamate/aspartate) 		3.A.1 		X
PA5076 	pp6382 		pp6382		ABC 	binding protein 	975 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA5082 	pp6382 		pp6382		ABC 	binding protein 	976 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA5094 	pp6382 		pp6382		ABC 	binding 	977 	glycine betaine 		3.A.1 		X
PA5095 	pp6382 		pp6382		ABC 	membrane 	978 	glycine betaine/L-proline 		3.A.1 		X
PA5096 	pp6382 		pp6382		ABC 	binding 	979 	glycine betaine 		3.A.1 		X
PA5101 	pp6382 		pp6382		ABC 	binding 	980 	phosphonates 		3.A.1 		X
PA5103 	pp6382 		pp6382		ABC 	binding 	981 	glycine betaine 		3.A.1 		X
PA5137 	pp6382 		pp6382		ABC 	binding protein 	982 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA5138 	pp6382 		pp6382		ABC 	binding protein 	983 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA5139 	pp6382 		pp6382		ABC 	binding protein 	984 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA5152 	pp6382 		pp6382		ABC 	binding 	985 	phosphate 		3.A.1 		X
PA5153 	pp6382 		pp6382		ABC 	binding protein 	986 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA5154 	pp6382 		pp6382		ABC 	membrane 	987 	amino acid (lysine/arginine/ornithine/histidine/octopine) 		3.A.1 		X
PA5155 	pp6382 		pp6382		ABC 	membrane 	988 	amino acid (lysine/arginine/ornithine/histidine/octopine) 		3.A.1 		X
PA5216 	pp6382 		pp6382		ABC 	membrane 	991 	iron(III) 		3.A.1 		X
PA5217 	pp6382 		pp6382		ABC 	binding 	992 	2-aminoethylphosphonate 		3.A.1 		X
PA5230 	pp6382 		pp6382		ABC 	membrane 	993 	multidrug 		3.A.1 		X
PA5231 	pp6382 		pp6382		ABC 	binding 	994 	daunorubicin 		3.A.1 		X
PA5252 	pp6382 		pp6382		ABC 	binding 	996 	daunorubicin 		3.A.1 		X
PA5270 	pp6382 		pp6382		ABC 	binding protein 	997 	amino acid (glutamine/glutamate/aspartate) 		3.A.1 		X
PA5317 	pp6382 		pp6382		ABC 	binding protein 	998 	dipeptide/oligopeptide 		3.A.1 		X
PA5366 	pp6382 		pp6382		ABC 	binding 	999 	phosphate 		3.A.1 		X
PA5367 	pp6382 		pp6382		ABC 	membrane 	1000 	phosphate 		3.A.1 		X
PA5368 	pp6382 		pp6382		ABC 	membrane 	1001 	phosphate 		3.A.1 		X
PA5369 	pp6382 		pp6382		ABC 	binding protein 	1002 	phosphate 		3.A.1 		X
PA5376 	pp6382 		pp6382		ABC 	binding 	1003 	glycine betaine 		3.A.1 		X
PA5377 	pp6382 		pp6382		ABC 	membrane 	1004 	glycine betaine/L-proline 		3.A.1 		X
PA5378 	pp6382 		pp6382		ABC 	binding 	1005 	choline 		3.A.1 		X
PA5388 	pp6382 		pp6382		ABC 	binding 	1006 	choline 		3.A.1 		X
PA5450 	pp6382 		pp6382		ABC 	ABC 	1007 	polysaccharide export 		3.A.1 		X
PA5451 	pp6382 		pp6382		ABC 	membrane 	1008 	polysaccharide export 		3.A.1 		X
