OSTLU_2522 	oo6384 		oo6384		AAA 		343 	ADP:ATP antiporter 		2.A.12 		X
OSTLU_30597 	oo6384 		oo6384		FBT 		632 	folate/biopterin 		2.A.71 		X
OSTLU_32854 	oo6384 		oo6384		FBT 		633 	folate/biopterin 		2.A.71 		X
OSTLU_35682 	oo6384 		oo6384		FBT 		634 	folate/biopterin 		2.A.71 		X
OSTLU_12689 	oo6384 		oo6384		FeoB 		1498 	ferrous ion 		9.A.8 		X
OSTLU_33865 	oo6384 		oo6384		FeoB 		1533 	ferrous ion 		9.A.8 		X
OSTLU_35696 	oo6384 		oo6384		FeoB 		1536 	ferrous ion 		9.A.8 		X
OSTLU_35887 	oo6384 		oo6384		FeoB 		1537 	ferrous ion 		9.A.8 		X
OSTLU_25116 	oo6384 		oo6384		FNT 		487 	formate/nitrite 		2.A.44 		X
OSTLU_31307 	oo6384 		oo6384		H+-PPase 		741 	proton (vacuolar) 		3.A.10 		X
OSTLU_39838 	oo6384 		oo6384		H+-PPase 		742 	proton (vacuolar) 		3.A.10 		X
OSTLU_48479 	oo6384 		oo6384		H+-PPase 		743 	proton (vacuolar) 		3.A.10 		X
OSTLU_10137 	oo6384 		oo6384		HAAAP 		480 	tryptophan/tyrosine 		2.A.42 		X
OSTLU_42458 	oo6384 		oo6384		HAAAP 		482 	tryptophan/tyrosine 		2.A.42 		X
OSTLU_47852 	oo6384 		oo6384		HAAAP 		483 	tryptophan/tyrosine 		2.A.42 		X
OSTLU_1568 	oo6384 		oo6384		HCC 		1477 	hemolysin C (HlyC) homolog 		9.A.40 		X
OSTLU_49610 	oo6384 		oo6384		HCC 		1478 	hemolysin C (HlyC) homolog 		9.A.40 		X
OSTLU_93353 	oo6384 		oo6384		ICln 		130 	nucleotide-sensitive anion channel 		1.A.47 		X
OSTLU_4406 	oo6384 		oo6384		IISP 		1685 	signal recognition particle receptor alpha subunit (SR-alpha) 		3.A.5 		X
OSTLU_33480 	oo6384 		oo6384		LCT 		484 	unknown substrate 		2.A.43 		X
OSTLU_5872 	oo6384 		oo6384		LCT 		485 	unknown substrate 		2.A.43 		X
OSTLU_92764 	oo6384 		oo6384		LCT 		486 	unknown substrate 		2.A.43 		X
OSTLU_13728 	oo6384 		oo6384		MC 		411 	unknown substrate 		2.A.29 		X
OSTLU_14154 	oo6384 		oo6384		MC 		412 	unknown substrate 		2.A.29 		X
OSTLU_15926 	oo6384 		oo6384		MC 		413 	unknown substrate 		2.A.29 		X
OSTLU_16237 	oo6384 		oo6384		MC 		414 	unknown substrate 		2.A.29 		X
OSTLU_16269 	oo6384 		oo6384		MC 		415 	unknown substrate 		2.A.29 		X
OSTLU_17060 	oo6384 		oo6384		MC 		416 	unknown substrate 		2.A.29 		X
OSTLU_1898 	oo6384 		oo6384		MC 		417 	unknown substrate 		2.A.29 		X
OSTLU_25107 	oo6384 		oo6384		MC 		420 	unknown substrate 		2.A.29 		X
OSTLU_25740 	oo6384 		oo6384		MC 		421 	unknown substrate 		2.A.29 		X
OSTLU_26689 	oo6384 		oo6384		MC 		422 	unknown substrate 		2.A.29 		X
OSTLU_26925 	oo6384 		oo6384		MC 		423 	unknown substrate 		2.A.29 		X
OSTLU_28180 	oo6384 		oo6384		MC 		424 	unknown substrate 		2.A.29 		X
OSTLU_28374 	oo6384 		oo6384		MC 		425 	unknown substrate 		2.A.29 		X
OSTLU_28989 	oo6384 		oo6384		MC 		426 	unknown substrate 		2.A.29 		X
OSTLU_29018 	oo6384 		oo6384		MC 		427 	unknown substrate 		2.A.29 		X
OSTLU_30460 	oo6384 		oo6384		MC 		428 	unknown substrate 		2.A.29 		X
OSTLU_30578 	oo6384 		oo6384		MC 		429 	unknown substrate 		2.A.29 		X
OSTLU_33920 	oo6384 		oo6384		MC 		431 	unknown substrate 		2.A.29 		X
OSTLU_34060 	oo6384 		oo6384		MC 		433 	unknown substrate 		2.A.29 		X
OSTLU_34271 	oo6384 		oo6384		MC 		434 	unknown substrate 		2.A.29 		X
OSTLU_36045 	oo6384 		oo6384		MC 		435 	unknown substrate 		2.A.29 		X
OSTLU_37703 	oo6384 		oo6384		MC 		436 	unknown substrate 		2.A.29 		X
OSTLU_38298 	oo6384 		oo6384		MC 		437 	unknown substrate 		2.A.29 		X
OSTLU_39985 	oo6384 		oo6384		MC 		439 	unknown substrate 		2.A.29 		X
OSTLU_40647 	oo6384 		oo6384		MC 		440 	unknown substrate 		2.A.29 		X
OSTLU_43906 	oo6384 		oo6384		MC 		442 	unknown substrate 		2.A.29 		X
OSTLU_44261 	oo6384 		oo6384		MC 		443 	unknown substrate 		2.A.29 		X
OSTLU_4792 	oo6384 		oo6384		MC 		445 	unknown substrate 		2.A.29 		X
OSTLU_5140 	oo6384 		oo6384		MC 		446 	unknown substrate 		2.A.29 		X
OSTLU_5273 	oo6384 		oo6384		MC 		447 	unknown substrate 		2.A.29 		X
OSTLU_5879 	oo6384 		oo6384		MC 		448 	unknown substrate 		2.A.29 		X
OSTLU_5951 	oo6384 		oo6384		MC 		449 	unknown substrate 		2.A.29 		X
OSTLU_5965 	oo6384 		oo6384		MC 		450 	unknown substrate 		2.A.29 		X
OSTLU_5982 	oo6384 		oo6384		MC 		451 	unknown substrate 		2.A.29 		X
OSTLU_6022 	oo6384 		oo6384		MC 		452 	unknown substrate 		2.A.29 		X
OSTLU_88251 	oo6384 		oo6384		MC 		453 	unknown substrate 		2.A.29 		X
OSTLU_89011 	oo6384 		oo6384		MC 		455 	unknown substrate 		2.A.29 		X
OSTLU_89833 	oo6384 		oo6384		MC 		456 	unknown substrate 		2.A.29 		X
OSTLU_92055 	oo6384 		oo6384		MC 		457 	unknown substrate 		2.A.29 		X
OSTLU_92084 	oo6384 		oo6384		MC 		458 	unknown substrate 		2.A.29 		X
OSTLU_23908 	oo6384 		oo6384		MerTP 		1467 	mercuric ion 		9.A.2 		X
OSTLU_29586 	oo6384 		oo6384		MerTP 		1468 	mercuric ion 		9.A.2 		X
OSTLU_33584 	oo6384 		oo6384		MEX 		638 	unknown substrate 		2.A.84 		X
OSTLU_13668 	oo6384 		oo6384		MFS 		290 	Acetyl-CoA:CoA antiporter 		2.A.1 		X
OSTLU_14174 	oo6384 		oo6384		MFS 		291 	sugar 		2.A.1 		X
OSTLU_2301 	oo6384 		oo6384		MFS 		293 	organic cation 		2.A.1 		X
OSTLU_26048 	oo6384 		oo6384		MFS 		295 	glycerol-3-phosphate 		2.A.1 		X
OSTLU_26062 	oo6384 		oo6384		MFS 		296 	nitrate 		2.A.1 		X
OSTLU_26513 	oo6384 		oo6384		MFS 		297 	multidrug efflux 		2.A.1 		X
OSTLU_27075 	oo6384 		oo6384		MFS 		299 	glycerol-3-phosphate 		2.A.1 		X
OSTLU_28563 	oo6384 		oo6384		MFS 		300 	multidrug efflux 		2.A.1 		X
OSTLU_2917 	oo6384 		oo6384		MFS 		301 	organic cation 		2.A.1 		X
OSTLU_2927 	oo6384 		oo6384		MFS 		303 	sodium ion:phosphate symporter 		2.A.1 		X
OSTLU_29537 	oo6384 		oo6384		MFS 		304 	multidrug efflux 		2.A.1 		X
OSTLU_30179 	oo6384 		oo6384		MFS 		306 	multidrug efflux 		2.A.1 		X
OSTLU_30287 	oo6384 		oo6384		MFS 		307 	multidrug efflux 		2.A.1 		X
OSTLU_30357 	oo6384 		oo6384		MFS 		308 	multidrug efflux 		2.A.1 		X
OSTLU_30525 	oo6384 		oo6384		MFS 		309 	multidrug efflux 		2.A.1 		X
OSTLU_30731 	oo6384 		oo6384		MFS 		310 	multidrug efflux 		2.A.1 		X
OSTLU_31082 	oo6384 		oo6384		MFS 		311 	multidrug efflux 		2.A.1 		X
OSTLU_31805 	oo6384 		oo6384		MFS 		313 	multidrug efflux 		2.A.1 		X
OSTLU_31857 	oo6384 		oo6384		MFS 		314 	multidrug efflux 		2.A.1 		X
OSTLU_32319 	oo6384 		oo6384		MFS 		315 	multidrug efflux 		2.A.1 		X
OSTLU_3240 	oo6384 		oo6384		MFS 		316 	multidrug efflux 		2.A.1 		X
OSTLU_32666 	oo6384 		oo6384		MFS 		317 	tetracycline efflux 		2.A.1 		X
OSTLU_32694 	oo6384 		oo6384		MFS 		318 	nitrate/nitrite 		2.A.1 		X
OSTLU_34203 	oo6384 		oo6384		MFS 		320 	sugar 		2.A.1 		X
OSTLU_35010 	oo6384 		oo6384		MFS 		321 	sugar 		2.A.1 		X
OSTLU_3784 	oo6384 		oo6384		MFS 		324 	multidrug efflux 		2.A.1 		X
OSTLU_37881 	oo6384 		oo6384		MFS 		325 	sodium ion:phosphate symporter 		2.A.1 		X
OSTLU_38010 	oo6384 		oo6384		MFS 		326 	organic cation 		2.A.1 		X
OSTLU_38823 	oo6384 		oo6384		MFS 		327 	sodium ion:phosphate symporter 		2.A.1 		X
OSTLU_41151 	oo6384 		oo6384		MFS 		329 	multidrug efflux 		2.A.1 		X
OSTLU_42838 	oo6384 		oo6384		MFS 		330 	multidrug efflux 		2.A.1 		X
OSTLU_43234 	oo6384 		oo6384		MFS 		331 	multidrug efflux 		2.A.1 		X
OSTLU_43281 	oo6384 		oo6384		MFS 		332 	multidrug efflux 		2.A.1 		X
OSTLU_43351 	oo6384 		oo6384		MFS 		333 	multidrug efflux 		2.A.1 		X
OSTLU_49086 	oo6384 		oo6384		MFS 		335 	sodium ion:phosphate symporter 		2.A.1 		X
OSTLU_52000 	oo6384 		oo6384		MFS 		337 	multidrug efflux 		2.A.1 		X
OSTLU_86082 	oo6384 		oo6384		MFS 		338 	multidrug efflux 		2.A.1 		X
